ID,Label,IsTerminal,URL
Lawrence D'Souza,Lawrence D'Souza,False,
terminal_Lawrence D'Souza_Andria_D_Souza,Andria D'Souza,True,
Kalees,Kalee,False,
Mudassar Aziz,Mudassar Aziz,False,
Robin Bhatt,Robin Bhatt,False,
terminal_Robin Bhatt_Hemlata_Bhatt_mother,Hemlata Bhatt (mother),True,
Rahul Bhatt,Rahul Bhatt,False,
Bachchan family,Bachchan family,False,
Anshai Lal,Anshai Lal,False,
Teji Bachchan,Teji Bachchan,False,
Harivansh_Rai_Bachchan,Harivansh Rai Bachchan,False,
Eeshwar Nivas,Eeshwar Niva,False,
terminal_Eeshwar Nivas_Priyanka,Priyanka,True,
Rishi Kapoor,Rishi Kapoor,False,
Neetu_Singh,Neetu Singh,False,
Ranbir_Kapoor,Ranbir,False,
Ravindra Kapoor,Ravindra Kapoor,False,
Kamal_Kapoor,Kamal Kapoor,False,
Kapil_Kapoor,Kapil Kapoor,False,
List_of_Hindi_film_families#Behl_family,Behl family,False,
Pooja Bhatt,Pooja Bhatt,False,
Manish_Makhija,Manish Makhija,False,
Shomu Mukherjee,Shomu Mukherjee,False,
Tanuja,Tanuja,False,
Kajol,Kajol,False,
Tanisha_Mukherjee,Tanisha,False,
Ram_Mukherjee,Ram Mukherjee,False,
Mukherjee-Samarth_family,Mukherji family,False,
Ganguly_family,Ganguly family,False,
Krishnan–Panju,Krishnan–Panju,False,
Rhea Kapoor,Rhea Kapoor,False,
terminal_Rhea Kapoor_Karan_Boolani_m_2021,Karan Boolani​(m.2021)​,True,
"Kunal Kapoor (actor, born 1959)","Kunal Kapoor (actor, born 1959)",False,
"terminal_Kunal Kapoor (actor, born 1959)_Sheena_Sippy_divorced",Sheena Sippy​(divorced)​,True,
Mona Shourie Kapoor,Mona Shourie Kapoor,False,
Samir Ganguly,Samir Ganguly,False,
Nikhil Nanda,Nikhil Nanda,False,
Shweta_Bachchan_Nanda,Shweta Bachchan,False,
Abhishek Jain,Abhishek Jain,False,
terminal_Abhishek Jain_Nayan_Jain_Brother,Nayan Jain (Brother),True,
Bejoy Nambiar,Bejoy Nambiar,False,
Juhi_Babbar,Juhi Babbar,False,
Sheetal_Menon,Sheetal Menon,False,
Pataudi family,Pataudi family,False,
Jayaraj,Jayaraj,False,
Mehmood Ali family,Mehmood Ali family,False,
Shimit Amin,Shimit Amin,False,
Megha_Ramaswamy,Megha Ramaswamy,False,
Sanjay Kapoor,Sanjay Kapoor,False,
terminal_Sanjay Kapoor_Maheep_Kapoor_m_1997,Maheep Kapoor​(m.1997)​,True,
Vishesh Films,Vishesh Film,False,
Tinnu Anand,Tinnu Anand,False,
terminal_Tinnu Anand_Shahnaz_Anand,Shahnaz Anand,True,
terminal_Tinnu Anand_2_Isha_Anand_Diksha_Anand,2 (Isha Anand & Diksha Anand),True,
Inder_Raj_Anand,Inder Raj Anand,False,
Siddharth_Anand,Siddharth Anand,False,
Mukul_Anand,Mukul Anand,False,
Agha_(actor),Agha,False,
Jalal_Agha,Jalal Agha,False,
Gulzar,Gulzar,False,
Rakhee_Gulzar,Rakhee Gulzar,False,
Meghna_Gulzar,Meghna Gulzar,False,
Anurag Kashyap,Anurag Kashyap,False,
Aarti_Bajaj,Aarti Bajaj,False,
Kalki_Koechlin,Kalki Koechlin,False,
Abhinav_Kashyap,Abhinav Kashyap,False,
Rahul Nath,Rahul Nath,False,
Hema Malini,Hema Malini,False,
Dharmendra,Dharmendra,False,
Esha_Deol,Esha Deol,False,
List_of_Hindi_film_clans#Deol_family,Deol family,False,
Abhishek Bachchan,Abhishek Bachchan,False,
Aishwarya_Rai,Aishwarya Rai,False,
Jaya_Bhaduri,Jaya Bhaduri,False,
Sunil Manchanda,Sunil Manchanda,False,
Ajit Pal Mangat,Ajit Pal Mangat,False,
Rohit Jugraj Chauhan,Rohit Jugraj Chauhan,False,
Vikram Bhatt,Vikram Bhatt,False,
Pravin_Bhatt,Pravin Bhatt,False,
Vijay_Bhatt,Vijay Bhatt,False,
Arun_Bhatt,Arun Bhatt,False,
Chirantan_Bhatt,Chirantan Bhatt,False,
List_of_Hindi_film_families#Bhatt_family_(of_Vijay_Bhatt),Bhatt family (of Vijay Bhatt),False,
Geeta Bali,Geeta Bali,False,
Anil Kapoor,Anil Kapoor,False,
terminal_Anil Kapoor_Sunita_Bhavnani_m_1984,Sunita Bhavnani​(m.1984)​,True,
Sonam_Kapoor,Sonam,False,
Rhea_Kapoor,Rhea,False,
Harsh_Varrdhan_Kapoor,Harsh Varrdhan,False,
Ajay Devgn,Ajay Devgn,False,
Veeru_Devgan,"Virender ""Veeru"" Devgan",False,
Devgan_family,Devgan,False,
Zahan Kapoor,Zahan Kapoor,False,
Zoya Akhtar,Zoya Akhtar,False,
Javed_Akhtar,Javed Akhtar,False,
Honey_Irani,Honey Irani,False,
List_of_Hindi_film_clans#Akhtar–Azmi–_family,Akhtar family,False,
Kunal Kohli,Kunal Kohli,False,
terminal_Kunal Kohli_Ravina_Kohli,Ravina Kohli,True,
terminal_Kunal Kohli_1_daughter,1 (daughter),True,
Rohit_Dhawan,Rohit Dhawan,False,
Hiren Nag,Hiren Nag,False,
Ashutosh Gowariker,Ashutosh Gowariker,False,
Sunita_Gowariker,Sunita Mukherjee,False,
A. Bhimsingh,A. Bhimsingh,False,
Sukumari,Sukumari,False,
B._Lenin,B. Lenin,False,
B._Kannan,B. Kannan,False,
List_of_South_Indian_film_families#Travancore_family,Travancore family,False,
Amit Goswamy,Amit Goswamy,False,
Arjun Kapoor,Arjun Kapoor,False,
Mona_Shourie,Mona Shourie,False,
Emraan Hashmi,Emraan Hashmi,False,
terminal_Emraan Hashmi_Parveen_Shahani_m_2006,Parveen Shahani​(m.2006)​,True,
Neetu Singh,Neetu Singh,False,
Nitya Mehra,Nitya Mehra,False,
terminal_Nitya Mehra_Karan_Kapadiya_m_2015,Karan Kapadiya (m. 2015),True,
Govind Nihalani,Govind Nihalani,False,
Alia Bhatt,Alia Bhatt,False,
Ranbir Kapoor,Ranbir Kapoor,False,
Jaya Bachchan,Jaya Bachchan,False,
Vijay Kapoor,Vijay Kapoor,False,
terminal_Vijay Kapoor_Veena_Kapoor_m_1963,Veena Kapoor (m. 1963),True,
Randhir Kapoor,Randhir Kapoor,False,
Trilok Kapoor,Trilok Kapoor,False,
Sonam Kapoor,Sonam Kapoor,False,
terminal_Sonam Kapoor_Anand_Ahuja_m_2018,Anand Ahuja​(m.2018)​,True,
Sridevi (unreleased film),Sridevi (unreleased film),False,
Khwaabon Ka Safar with Mahesh Bhatt,Khwaabon Ka Safar with Mahesh Bhatt,False,
Kamal Kapoor,Kamal Kapoor,False,
terminal_Kamal Kapoor_Suman_Devi_m_1945,Suman Devi​(m.1945)​,True,
terminal_Kamal Kapoor_5_including_Kapil_Kapoor,"5, including Kapil Kapoor",True,
Ravindra_Kapoor,Ravindra Kapoor,False,
Ramesh_Behl,Ramesh Behl,False,
Goldie_Behl,Goldie Behl,False,
Zahrah S. Khan,Zahrah S. Khan,False,
Rehmat_Khan,Rehmat Khan,False,
Salma_Agha,Salma Agha,False,
Khan_squash_family,Khan family,False,
Prithviraj Kapoor,Prithviraj Kapoor,False,
terminal_Prithviraj Kapoor_Ramsarni_Mehra_m_1923,Ramsarni Mehra​(m.1923)​,True,
Mohit Suri,Mohit Suri,False,
Udita_Goswami,Udita Goswami,False,
Vishesh Bhatt,Vishesh Bhatt,False,
Ganguly family,Ganguly family,False,
Salma Agha,Salma Agha,False,
Jawed_Sheikh,Jawed Sheikh,False,
Zara_Khan,Zara Khan,False,
List_of_Hindi_film_families#Agha_family,Agha family,False,
Shweta Bachchan Nanda,Shweta Bachchan Nanda,False,
Nikhil_Nanda,Nikhil Nanda,False,
Ketan Desai (director),Ketan Desai (director),False,
terminal_David_Dhawan_Karuna_Dhawan,Karuna Dhawan,True,
List_of_Hindi_film_clans#Dhawan_family,Dhawan family,False,
terminal_Varun_Dhawan_Natasha_Dalal_m_2021,Natasha Dalal​(m.2021)​,True,
terminal_Varun_Dhawan_Karuna_Dhawan_mother,Karuna Dhawan (mother),True,
"terminal_Kunal_Kapoor_(actor,_born_1959)_Sheena_Sippy_divorced",Sheena Sippy​(divorced)​,True,
terminal_Karan_Kapoor_Lorna_Kapoor,Lorna Kapoor,True,
terminal_Prithviraj_Kapoor_Ramsarni_Mehra_m_1923,Ramsarni Mehra​(m.1923)​,True,
terminal_Raj_Kapoor_Krishna_Malhotra_m_1946,Krishna Malhotra​(m.1946)​,True,
terminal_Raj_Kapoor_Ramsarni_Mehra_Kapoor_mother,Ramsarni Mehra Kapoor (mother),True,
Nandita_Mahtani,Nandita Mahtani,False,
R._Balki,R. Balki,False,
terminal_Mahesh_Bhatt_Lorraine_Bright_m_1970,Lorraine Bright​(m.1970)​,True,
Drewe_Henley,Drewe Henley,False,
Michael_Rudman,Michael Rudman,False,
Charley_Henley,Charley Henley,False,
Geoffrey_Kendal,Geoffrey Kendal,False,
terminal_Felicity_Kendal_Laura_Liddell_mother,Laura Liddell (mother),True,
terminal_Rajiv_Kapoor_Aarti_Jha_m_2001_div_2003,Aarti Jha​​(m.2001;div.2003)​,True,
terminal_Mukesh_Bhatt_Neelima_Bhatt,Neelima Bhatt,True,
Vishesh_Bhatt,Vishesh Bhatt,False,
terminal_Mukesh_Bhatt_Shirin_Mohammed_Ali_mother,Shirin Mohammed Ali (mother),True,
terminal_Robin_Bhatt_Hemlata_Bhatt_mother,Hemlata Bhatt (mother),True,
Bimal_Roy,Bimal Roy,False,
Brij_Sadanah,Brij Sadanah,False,
Kamal_Sadanah,Kamal,False,
Shagufta_Rafique,Shagufta Rafique,False,
Jyothika,Jyothika,False,
Himanshu_Rai,Himanshu Rai,False,
Svetoslav_Roerich,Svetoslav Roerich,False,
Jayanto_Nath_Chaudhuri,Jayanto Nath Chaudhuri,False,
Pramatha_Chaudhuri,Pramatha Chaudhuri,False,
Rabindranath_Tagore,Rabindranath Tagore,False,
Girish_Karnad,Girish Karnad,False,
Kamal_Amrohi,Kamal Amrohi,False,
List_of_Hindi_film_clans#Ali-Amrohi_family,Ali-Amrohi family,False,
Asrani_(actor),Govardhan Asrani,False,
terminal_Pran_Nath_Thapar_Bimla_Thapar,Bimla Thapar,True,
Karan_Thapar,Karan Thapar,False,
terminal_Aditya_Raj_Kapoor_Priti_Kapoor_m_1982,Priti Kapoor​(m.1982)​,True,
terminal_Valmik_Thapar_Hamir_Thapar,Hamir Thapar,True,
Sanjay_Khan,Sanjay Khan,False,
"Mazhar_Khan_(actor,_born_1955)",Mazhar Khan,False,
List_of_Hindi_film_families#Murad–Rai-Aman_family,Murad–Rai-Aman family,False,
terminal_Shadaab_Khan_Rumana_Achwa_m_2005,Rumana Achwa​(m.2005)​,True,
Amjad_Khan_(actor),Amjad Khan,False,
Kruttika_Desai,Kruttika Desai,False,
terminal_Imtiaz_Khan_Ayesha_Khan,Ayesha Khan,True,
terminal_Akhtar_ul_Iman_Sultana_Iman,Sultana Iman,True,
terminal_Anil_Kapoor_Sunita_Bhavnani_m_1984,Sunita Bhavnani​(m.1984)​,True,
terminal_Sanjay_Kapoor_Maheep_Kapoor_m_1997,Maheep Kapoor​(m.1997)​,True,
Sombhu_Mitra,Sombhu Mitra,False,
Sajid_Nadiadwala,Sajid Nadiadwala,False,
terminal_Surinder_Kapoor_Nirmal_Kapoor_m_1955,Nirmal Kapoor​(m.1955)​,True,
terminal_B.R._Chopra_Prakash_Chopra,Prakash Chopra,True,
Ravi_Chopra,Ravi Chopra,False,
terminal_Shyam_Benegal_Nira_Benegal,Nira Benegal,True,
S._A._Chandrasekhar,S. A. Chandrasekhar,False,
List_of_South_Indian_film_families#Chandrasekhar_family,Chandrasekhar family,False,
terminal_Vikranth_Maanasa_Hemachandran_m_2009,Maanasa Hemachandran​​(m.2009)​,True,
Viraj_(actor),Viraj,False,
terminal_Shammi_Kapoor_Ramsarni_Mehra_Kapoor_mother,Ramsarni Mehra Kapoor (mother),True,
terminal_Vijayalakshmi_Agathiyan_Feroz_Mohammed,Feroz Mohammed,True,
terminal_Niranjani_Ahathian_Desingh_Periyasamy,Desingh Periyasamy,True,
Vijayalakshmi_Feroz,Vijayalakshmi Feroz,False,
terminal_Thiru_(director)_Kani_Thiru,Kani Thiru,True,
Vijayalakshmi,Vijayalakshmi,False,
terminal_Sonia_Sahni_Shivendra_Singh_Goyal_died_1990,Shivendra Singh Goyal​​(died 1990)​,True,
Bina_Rai,Bina Rai,False,
Prem_Krishen,Prem Krishen,False,
Prem_Chopra,Prem Chopra,False,
Siddharth_P._Malhotra,Siddharth P. Malhotra,False,
List_of_Hindi_film_clans#Bohra_family,Bohra family,False,
Abhishek_Pathak,Abhishek Pathak,False,
Raghav_Sachar,Raghav Sachar,False,
Jaya_Bachchan,Jaya Bhaduri,False,
Imtiaz_Ali_(director),Imtiaz Ali,False,
Vinod_Mehra,Vinod Mehra,False,
J.P._Dutta,J.P. Dutta,False,
terminal_Nanabhai_Bhatt_Hemlata_Bhatt,Hemlata Bhatt,True,
Rukhsana_Sultana,Rukhsana Sultana,False,
"List_of_Hindi_film_families#Khan–Banu_family_(of_Yusuf_Khan_aka_Dilip_Kumar,_Saira_Banu,_and_Nasir_Khan)",Khan–Banu family,False,
Iftikhar_Ali_Khan_Pataudi,Iftikhar Ali Khan,False,
Sajida_Sultan,Sajida Sultan,False,
Saba_Ali_Khan,Saba,False,
Soha_Ali_Khan,Soha,False,
Tagore_family,Tagore family,False,
terminal_Kamal_Kapoor_Suman_Devi_m_1945,Suman Devi​(m.1945)​,True,
terminal_Kamal_Kapoor_5_including_Kapil_Kapoor,"5, including Kapil Kapoor",True,
Pooja_Bhatt,Pooja Bhatt,False,
Masumeh_Makhija,Masumeh Makhija,False,
Shomu_Mukherjee,Shomu Mukherjee,False,
Tanishaa_Mukerji,Tanisha,False,
Kumarsen_Samarth,Kumarsen Samarth,False,
Shobhna_Samarth,Shobhna Samarth,False,
Ajay_Devgn,Ajay Devgn,False,
terminal_Ram_Mukherjee_Krishna_Mukherjee_m_1972,Krishna Mukherjee​(m.1972)​,True,
terminal_Ram_Mukherjee_Raja_son,Raja (son),True,
Rani_Mukerji,Rani,False,
Bejoy_Nambiar,Bejoy Nambiar,False,
Anup_Soni,Anup Soni,False,
List_of_Hindi_film_clans#Babbar_family,Babbar family,False,
Tinnu_Anand,Tinnu Anand,False,
terminal_Inder_Raj_Anand_Bittu_Anand,Bittu Anand,True,
terminal_Siddharth_Anand_Mamta_Bhatia,Mamta Bhatia,True,
terminal_Mukul_Anand_Anita,Anita,True,
